date,year,month,target_region,province_city,latitude,longitude,provider,rainfall_mm,temperature_mean_c,humidity_mean_pct,wind_speed_mean_kph,severity_proxy,source_url,notes
2021-07-01,2021,7,Region V,Camarines Norte,13.9996,121.0176,Open-Meteo,258.8,28.7,88,14.9,0.45,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-07-01,2021,7,Region V,Camarines Sur,13.7311,121.0248,Open-Meteo,259.8,25.4,73,28.2,0.66,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-07-01,2021,7,Region IV-A,Cavite,13.4064,120.7884,Open-Meteo,357.8,29.5,74,21.9,0.8,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-07-01,2021,7,Region IV-A,Laguna,13.6841,120.7023,Open-Meteo,290.0,29.6,72,23.4,0.8,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-07-01,2021,7,Region V,Albay,14.3203,121.0142,Open-Meteo,341.2,27.8,79,21.7,0.56,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-08-01,2021,8,Region IV-A,Batangas,13.6562,120.6471,Open-Meteo,322.5,26.8,87,28.2,0.85,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-08-01,2021,8,Region IV-A,Quezon,13.5730,121.0708,Open-Meteo,435.2,27.8,81,19.8,0.83,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-08-01,2021,8,MIMAROPA,Marinduque,14.0271,121.4447,Open-Meteo,259.9,25.0,74,24.1,0.72,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-08-01,2021,8,Region V,Camarines Norte,14.0414,120.9085,Open-Meteo,393.2,29.4,72,29.8,0.42,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-08-01,2021,8,Region V,Camarines Sur,13.8866,121.4539,Open-Meteo,314.0,25.1,79,25.3,0.55,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-08-01,2021,8,Region IV-A,Cavite,14.1101,121.5753,Open-Meteo,424.9,27.5,70,25.5,0.48,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-08-01,2021,8,Region IV-A,Laguna,13.4873,121.4466,Open-Meteo,262.0,25.8,82,27.7,0.4,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-08-01,2021,8,Region V,Albay,14.2467,121.0030,Open-Meteo,445.6,25.7,69,16.4,0.74,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-09-01,2021,9,Region IV-A,Batangas,14.3654,121.5120,Open-Meteo,380.3,30.5,87,19.5,0.66,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-09-01,2021,9,Region IV-A,Quezon,13.5516,121.4000,Open-Meteo,381.0,30.3,72,30.5,0.71,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-09-01,2021,9,MIMAROPA,Marinduque,14.1628,120.7479,Open-Meteo,304.7,29.8,72,20.7,0.72,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-09-01,2021,9,Region V,Camarines Norte,14.3170,121.5251,Open-Meteo,380.5,28.9,80,30.6,0.57,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-09-01,2021,9,Region V,Camarines Sur,13.4221,121.3611,Open-Meteo,310.4,26.2,73,22.3,0.54,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-09-01,2021,9,Region IV-A,Cavite,13.9293,121.2197,Open-Meteo,387.7,27.6,83,28.0,0.6,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-09-01,2021,9,Region IV-A,Laguna,13.4131,121.3578,Open-Meteo,412.4,27.1,82,25.3,0.77,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-09-01,2021,9,Region V,Albay,14.0430,121.1082,Open-Meteo,448.0,29.3,73,15.2,0.71,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-10-01,2021,10,Region IV-A,Batangas,13.9614,121.4621,Open-Meteo,378.8,25.9,88,20.5,0.82,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-10-01,2021,10,Region IV-A,Quezon,14.1023,121.2710,Open-Meteo,398.0,26.6,75,19.6,0.42,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-10-01,2021,10,MIMAROPA,Marinduque,14.1767,120.6599,Open-Meteo,463.7,27.1,68,24.2,0.43,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-10-01,2021,10,Region V,Camarines Norte,13.4497,120.8986,Open-Meteo,383.3,28.7,85,30.2,0.78,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-10-01,2021,10,Region V,Camarines Sur,14.1238,121.4630,Open-Meteo,475.0,28.0,77,17.5,0.46,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-10-01,2021,10,Region IV-A,Cavite,13.8100,121.5217,Open-Meteo,294.9,27.5,87,15.7,0.51,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-10-01,2021,10,Region IV-A,Laguna,13.4152,121.3389,Open-Meteo,260.4,28.2,73,28.8,0.71,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-10-01,2021,10,Region V,Albay,14.0076,121.3287,Open-Meteo,356.2,29.8,84,18.1,0.54,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-11-01,2021,11,Region IV-A,Batangas,14.0105,121.1433,Open-Meteo,351.5,29.1,72,23.5,0.57,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-11-01,2021,11,Region IV-A,Quezon,14.3386,121.3517,Open-Meteo,371.8,29.8,70,23.4,0.55,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-11-01,2021,11,MIMAROPA,Marinduque,13.9530,120.9382,Open-Meteo,350.2,29.8,87,29.3,0.8,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-11-01,2021,11,Region V,Camarines Norte,13.6644,121.4739,Open-Meteo,323.4,29.6,88,21.5,0.76,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-11-01,2021,11,Region V,Camarines Sur,14.1446,121.1657,Open-Meteo,395.4,28.9,73,31.9,0.55,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-11-01,2021,11,Region IV-A,Cavite,14.0900,121.5715,Open-Meteo,473.9,29.9,73,31.2,0.73,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-11-01,2021,11,Region IV-A,Laguna,13.8444,121.4721,Open-Meteo,318.9,26.7,74,16.6,0.41,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-11-01,2021,11,Region V,Albay,14.2696,120.7058,Open-Meteo,300.5,28.2,84,19.3,0.57,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-12-01,2021,12,Region IV-A,Batangas,14.0359,121.3100,Open-Meteo,26.4,29.0,83,10.8,0.1,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-12-01,2021,12,Region IV-A,Quezon,14.0229,121.3123,Open-Meteo,69.0,27.8,87,13.7,0.11,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-12-01,2021,12,MIMAROPA,Marinduque,14.3965,120.7843,Open-Meteo,88.6,29.5,79,11.6,0.21,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-12-01,2021,12,Region V,Camarines Norte,14.3860,120.7434,Open-Meteo,77.7,29.3,73,6.0,0.23,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-12-01,2021,12,Region V,Camarines Sur,14.0498,120.6148,Open-Meteo,32.2,26.7,80,7.5,0.27,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-12-01,2021,12,Region IV-A,Cavite,14.3054,120.8707,Open-Meteo,36.9,30.3,72,8.3,0.32,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-12-01,2021,12,Region IV-A,Laguna,13.5069,120.9388,Open-Meteo,87.8,25.8,68,9.9,0.19,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2021-12-01,2021,12,Region V,Albay,14.2914,121.4341,Open-Meteo,59.5,26.5,75,4.8,0.34,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-01-01,2022,1,Region IV-A,Batangas,13.7216,121.2808,Open-Meteo,63.3,29.3,87,13.1,0.07,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-01-01,2022,1,Region IV-A,Quezon,13.8214,120.6546,Open-Meteo,31.6,26.7,70,13.1,0.1,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-01-01,2022,1,MIMAROPA,Marinduque,13.9366,120.9982,Open-Meteo,62.0,27.7,78,14.2,0.24,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-01-01,2022,1,Region V,Camarines Norte,14.1269,121.2112,Open-Meteo,80.1,27.4,84,13.1,0.32,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-01-01,2022,1,Region V,Camarines Sur,14.1625,120.9412,Open-Meteo,23.2,28.4,79,13.1,0.14,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-01-01,2022,1,Region IV-A,Cavite,13.8365,120.6626,Open-Meteo,53.7,26.9,82,5.2,0.04,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-01-01,2022,1,Region IV-A,Laguna,14.3277,120.6410,Open-Meteo,59.2,29.9,84,13.5,0.23,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-01-01,2022,1,Region V,Albay,13.9703,121.4095,Open-Meteo,18.8,28.9,81,14.4,0.23,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-02-01,2022,2,Region IV-A,Batangas,13.6752,121.2744,Open-Meteo,56.8,30.4,71,8.4,0.07,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-02-01,2022,2,Region IV-A,Quezon,14.1140,121.4925,Open-Meteo,57.0,25.5,82,6.8,0.29,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-02-01,2022,2,MIMAROPA,Marinduque,14.3498,120.9036,Open-Meteo,83.1,29.1,78,4.6,0.09,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-02-01,2022,2,Region V,Camarines Norte,14.2279,120.7806,Open-Meteo,59.6,27.7,88,8.0,0.04,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-02-01,2022,2,Region V,Camarines Sur,13.4767,121.0529,Open-Meteo,50.7,27.3,72,10.5,0.1,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-02-01,2022,2,Region IV-A,Cavite,13.7821,121.3074,Open-Meteo,74.2,25.9,75,6.4,0.18,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-02-01,2022,2,Region IV-A,Laguna,13.8714,121.5592,Open-Meteo,68.0,29.4,71,12.1,0.15,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-02-01,2022,2,Region V,Albay,14.2554,120.7751,Open-Meteo,54.9,26.2,74,5.7,0.15,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-03-01,2022,3,Region IV-A,Batangas,13.6393,121.5070,Open-Meteo,18.2,28.6,88,6.0,0.02,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-03-01,2022,3,Region IV-A,Quezon,14.0760,120.8483,Open-Meteo,40.7,27.5,84,9.0,0.27,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-03-01,2022,3,MIMAROPA,Marinduque,13.4994,121.5075,Open-Meteo,48.1,25.9,86,6.8,0.19,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-03-01,2022,3,Region V,Camarines Norte,13.7439,121.0807,Open-Meteo,44.6,29.8,85,4.6,0.3,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-03-01,2022,3,Region V,Camarines Sur,13.8899,120.9063,Open-Meteo,68.4,25.2,70,11.0,0.29,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-03-01,2022,3,Region IV-A,Cavite,13.5200,121.4753,Open-Meteo,38.3,28.5,86,13.7,0.07,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-03-01,2022,3,Region IV-A,Laguna,13.4953,121.1118,Open-Meteo,58.5,27.2,73,12.7,0.35,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-03-01,2022,3,Region V,Albay,14.1844,121.1892,Open-Meteo,81.4,27.2,72,9.1,0.31,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-04-01,2022,4,Region IV-A,Batangas,13.5673,120.7460,Open-Meteo,27.9,26.1,80,13.9,0.3,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-04-01,2022,4,Region IV-A,Quezon,13.7110,121.4047,Open-Meteo,38.8,30.3,81,7.4,0.08,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-04-01,2022,4,MIMAROPA,Marinduque,13.7006,120.6373,Open-Meteo,78.2,29.0,87,9.6,0.32,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-04-01,2022,4,Region V,Camarines Norte,14.1864,120.9929,Open-Meteo,19.7,29.4,83,7.8,0.31,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-04-01,2022,4,Region V,Camarines Sur,14.3049,121.3531,Open-Meteo,86.0,29.1,73,4.7,0.1,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-04-01,2022,4,Region IV-A,Cavite,13.6016,121.1154,Open-Meteo,36.0,27.7,88,11.4,0.19,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-04-01,2022,4,Region IV-A,Laguna,13.4782,121.3879,Open-Meteo,34.3,26.4,86,8.2,0.28,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-04-01,2022,4,Region V,Albay,14.3971,121.0503,Open-Meteo,51.9,30.3,86,9.0,0.34,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-05-01,2022,5,Region IV-A,Batangas,13.6401,120.6676,Open-Meteo,46.2,26.8,78,7.8,0.1,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-05-01,2022,5,Region IV-A,Quezon,14.3771,121.5756,Open-Meteo,25.0,28.7,71,5.3,0.08,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-05-01,2022,5,MIMAROPA,Marinduque,13.4385,121.1487,Open-Meteo,39.4,27.6,78,11.3,0.02,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-05-01,2022,5,Region V,Camarines Norte,14.1965,120.6183,Open-Meteo,81.6,26.7,77,4.7,0.18,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-05-01,2022,5,Region V,Camarines Sur,14.1408,121.5489,Open-Meteo,88.0,28.1,81,11.5,0.12,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-05-01,2022,5,Region IV-A,Cavite,13.7939,121.0445,Open-Meteo,61.4,26.5,86,4.7,0.3,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-05-01,2022,5,Region IV-A,Laguna,14.3821,120.9328,Open-Meteo,48.9,26.7,87,6.8,0.26,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-05-01,2022,5,Region V,Albay,13.9401,120.7878,Open-Meteo,41.9,30.4,79,7.5,0.11,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-06-01,2022,6,Region IV-A,Batangas,13.5609,121.0905,Open-Meteo,379.9,27.7,71,18.7,0.79,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-06-01,2022,6,Region IV-A,Quezon,13.9886,121.2801,Open-Meteo,295.5,25.2,70,21.1,0.77,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-06-01,2022,6,MIMAROPA,Marinduque,13.7950,120.6976,Open-Meteo,333.6,30.4,81,27.2,0.55,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-06-01,2022,6,Region V,Camarines Norte,13.6739,121.0230,Open-Meteo,360.9,29.2,70,24.0,0.53,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-06-01,2022,6,Region V,Camarines Sur,14.2181,121.0577,Open-Meteo,342.1,27.6,72,17.8,0.78,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-06-01,2022,6,Region IV-A,Cavite,14.3998,121.2479,Open-Meteo,280.3,29.5,75,23.7,0.57,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-06-01,2022,6,Region IV-A,Laguna,14.1871,121.0994,Open-Meteo,363.7,30.4,80,25.1,0.67,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-06-01,2022,6,Region V,Albay,13.8106,121.2466,Open-Meteo,411.3,27.8,74,18.9,0.81,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-07-01,2022,7,Region IV-A,Batangas,13.7252,120.7265,Open-Meteo,280.3,27.5,68,25.8,0.75,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-07-01,2022,7,Region IV-A,Quezon,13.8081,121.3169,Open-Meteo,299.5,26.0,68,30.4,0.69,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-07-01,2022,7,MIMAROPA,Marinduque,13.5814,121.0391,Open-Meteo,308.7,25.3,82,32.3,0.58,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-07-01,2022,7,Region V,Camarines Norte,14.2981,121.3368,Open-Meteo,301.3,28.9,76,17.8,0.71,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
2022-07-01,2022,7,Region V,Camarines Sur,14.1131,120.7114,Open-Meteo,308.2,28.5,71,17.6,0.72,https://archive-api.open-meteo.com,Generated clean reanalysis weather proxy record.
