scope,calendar_month,seasonal_index,seasonal_strength,interpretation,method,status
Cavite,10,1.824173,0.880329,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Cavite,11,0.989651,0.880329,near_average,monthly average demand divided by overall monthly average demand,draft
Cavite,12,0.794891,0.880329,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,01,0.210346,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,02,0.216031,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,03,0.110858,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,04,0.067751,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,05,0.0,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,06,0.09629,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,07,0.166761,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,08,0.0,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,09,0.0,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,10,5.778826,1.0,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,11,0.0,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Laguna,12,0.076748,1.0,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,01,2.939289,0.93777,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,02,1.585776,0.93777,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,03,0.270748,0.93777,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,04,0.182913,0.93777,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,05,1.045865,0.93777,near_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,06,0.444425,0.93777,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,07,0.476072,0.93777,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,08,1.019605,0.93777,near_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,09,0.374202,0.93777,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,10,1.62992,0.93777,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,11,0.236338,0.93777,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Marinduque,12,1.886179,0.93777,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Quezon,01,0.528705,0.809934,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Quezon,02,0.879154,0.809934,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Quezon,03,0.740148,0.809934,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Quezon,04,0.526705,0.809934,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Quezon,05,1.008909,0.809934,near_average,monthly average demand divided by overall monthly average demand,draft
Quezon,06,2.771164,0.809934,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Quezon,07,0.66161,0.809934,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Quezon,08,0.73499,0.809934,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Quezon,09,1.065598,0.809934,higher_than_average,monthly average demand divided by overall monthly average demand,draft
Quezon,10,0.707878,0.809934,lower_than_average,monthly average demand divided by overall monthly average demand,draft
Quezon,11,1.008437,0.809934,near_average,monthly average demand divided by overall monthly average demand,draft
Quezon,12,0.946709,0.809934,lower_than_average,monthly average demand divided by overall monthly average demand,draft
